"","lemma_morphit","form_1ps_ind","fonroot_1ps_ind","conj","form_3ps_ind","fonroot_3ps_ind","form_1ps_sub","fonroot_1ps_sub","L_morph"
"204","affumicare","affumico","affumik","are","affumica","affumik","affumichi","affumikh",0
"205","affusolare","affusolo","affusol","are","affusola","affusol","affusoli","affusol",0
"206","agevolare","agevolo","adGevol","are","agevola","adGevol","agevoli","adGevol",0
"207","agganciare","aggancio","aggantS","are","aggancia","aggantS","agganci","aggantS",0
"208","aggettare","aggetto","addGett","are","aggetta","addGett","aggetti","addGett",0
"209","aggettivare","aggettivo","addGettiv","are","aggettiva","addGettiv","aggettivi","addGettiv",0
"210","agghiacciare","agghiaccio","agdGiattS","are","agghiaccia","agdGiattS","agghiacci","agdGiattS",0
"211","agghindare","agghindo","agdGind","are","agghinda","agdGind","agghindi","agdGind",0
"212","aggiogare","aggiogo","addGog","are","aggioga","addGog","aggioghi","addGogh",0
"213","aggiornare","aggiorno","addGorn","are","aggiorna","addGorn","aggiorni","addGorn",0
"214","aggirare","aggiro","addGir","are","aggira","addGir","aggiri","addGir",0
"215","aggiudicare","aggiudico","addGudik","are","aggiudica","addGudik","aggiudichi","addGudikh",0
"216","aggiuntare","aggiunto","addGunt","are","aggiunta","addGunt","aggiunti","addGunt",0
"217","aggiustare","aggiusto","addGust","are","aggiusta","addGust","aggiusti","addGust",0
"218","agglomerare","agglomero","agglomer","are","agglomera","agglomer","agglomeri","agglomer",0
"219","agglutinare","agglutino","agglutin","are","agglutina","agglutin","agglutini","agglutin",0
"220","aggomitolare","aggomitolo","aggomitol","are","aggomitola","aggomitol","aggomitoli","aggomitol",0
"221","aggottare","aggotto","aggott","are","aggotta","aggott","aggotti","aggott",0
"222","aggradare","aggrado","aggrad","are","aggrada","aggrad","aggradi","aggrad",0
"223","aggraffare","aggraffo","aggraff","are","aggraffa","aggraff","aggraffi","aggraff",0
"224","aggrappare","aggrappo","aggrapp","are","aggrappa","aggrapp","aggrappi","aggrapp",0
"225","aggravare","aggravo","aggrav","are","aggrava","aggrav","aggravi","aggrav",0
"226","aggraziare","aggrazio","aggrazi","are","aggrazia","aggrazi","aggrazi","aggraz",0
"227","aggraziare","aggrazio","aggrazi","are","aggrazia","aggrazi","aggrazi","aggrazi",0
"228","aggregare","aggrego","aggreg","are","aggrega","aggreg","aggreghi","aggregh",0
"229","aggricciare","aggriccio","aggrittS","are","aggriccia","aggrittS","aggricci","aggrittS",0
"230","aggrinzare","aggrinzo","aggrinz","are","aggrinza","aggrinz","aggrinzi","aggrinz",0
"231","aggrondare","aggrondo","aggrond","are","aggronda","aggrond","aggrondi","aggrond",0
"232","aggrottare","aggrotto","aggrott","are","aggrotta","aggrott","aggrotti","aggrott",0
"233","aggrovigliare","aggroviglio","aggroviLL","are","aggroviglia","aggroviLL","aggrovigli","aggroviLL",0
"234","aggrumare","aggrumo","aggrum","are","aggruma","aggrum","aggrumi","aggrum",0
"235","aggruppare","aggruppo","aggrupp","are","aggruppa","aggrupp","aggruppi","aggrupp",0
"236","agguagliare","agguaglio","agguaLL","are","agguaglia","agguaLL","agguagli","agguaLL",0
"237","agguantare","agguanto","agguant","are","agguanta","agguant","agguanti","agguant",0
"238","agguatare","agguato","agguat","are","agguata","agguat","agguati","agguat",0
"239","agitare","agito","adGit","are","agita","adGit","agiti","adGit",0
"240","agognare","agogno","agoNN","are","agogna","agoNN","agogni","agoNN",0
"241","agonizzare","agonizzo","agonizz","are","agonizza","agonizz","agonizzi","agonizz",0
"242","agucchiare","agucchio","agukki","are","agucchia","agukki","agucchi","agukki",0
"243","agucchiare","agucchio","agukki","are","agucchia","agukki","agucchi","agukk",0
"244","aguzzare","aguzzo","aguzz","are","aguzza","aguzz","aguzzi","aguzz",0
"245","aiutare","aiuto","aiut","are","aiuta","aiut","aiuti","aiut",0
"246","aizzare","aizzo","aizz","are","aizza","aizz","aizzi","aizz",0
"247","alare","alo","al","are","ala","al","ali","al",0
"248","albeggiare","albeggio","albeddG","are","albeggia","albeddG","albeggi","albeddG",0
"249","alberare","albero","alber","are","albera","alber","alberi","alber",0
"250","alcolizzare","alcolizzo","alkolizz","are","alcolizza","alkolizz","alcolizzi","alkolizz",0
"251","aleggiare","aleggio","aleddG","are","aleggia","aleddG","aleggi","aleddG",0
"252","alenare","aleno","alen","are","alena","alen","aleni","alen",0
"253","alesare","aleso","ales","are","alesa","ales","alesi","ales",0
"254","alettare","aletto","alett","are","aletta","alett","aletti","alett",0
"255","alfabetizzare","alfabetizzo","alfabetizz","are","alfabetizza","alfabetizz","alfabetizzi","alfabetizz",0
"256","alienare","alieno","alien","are","aliena","alien","alieni","alien",0
"257","alimentare","alimento","aliment","are","alimenta","aliment","alimenti","aliment",0
"258","alitare","alito","alit","are","alita","alit","aliti","alit",0
"259","allacciare","allaccio","allattS","are","allaccia","allattS","allacci","allattS",0
"260","allagare","allago","allag","are","allaga","allag","allaghi","allagh",0
"261","allappare","allappo","allapp","are","allappa","allapp","allappi","allapp",0
"262","allargare","allargo","allarg","are","allarga","allarg","allarghi","allargh",0
"263","allarmare","allarmo","allarm","are","allarma","allarm","allarmi","allarm",0
"264","allattare","allatto","allatt","are","allatta","allatt","allatti","allatt",0
"265","alleare","alleo","alle","are","allea","alle","allei","alle",0
"266","allegare","allego","alleg","are","allega","alleg","alleghi","allegh",0
"267","allenare","alleno","allen","are","allena","allen","alleni","allen",0
"268","allentare","allento","allent","are","allenta","allent","allenti","allent",0
"269","allertare","allerto","allert","are","allerta","allert","allerti","allert",0
"270","allettare","alletto","allett","are","alletta","allett","alletti","allett",0
"271","allevare","allevo","allev","are","alleva","allev","allevi","allev",0
"272","alleviare","allevio","allevi","are","allevia","allevi","allevi","allev",0
"273","alleviare","allevio","allevi","are","allevia","allevi","allevi","allevi",0
"274","allibrare","allibro","allibr","are","allibra","allibr","allibri","allibr",0
"275","allietare","allieto","alliet","are","allieta","alliet","allieti","alliet",0
"276","allignare","alligno","alliNN","are","alligna","alliNN","alligni","alliNN",0
"277","allineare","allineo","alline","are","allinea","alline","allinei","alline",0
"278","allocare","alloco","allok","are","alloca","allok","allochi","allokh",0
"279","allogare","allogo","allog","are","alloga","allog","alloghi","allogh",0
"280","alloggiare","alloggio","alloddG","are","alloggia","alloddG","alloggi","alloddG",0
"281","allontanare","allontano","allontan","are","allontana","allontan","allontani","allontan",0
"282","allucinare","allucino","allutSin","are","allucina","allutSin","allucini","allutSin",0
"283","allumare","allumo","allum","are","alluma","allum","allumi","allum",0
"284","alluminare","allumino","allumin","are","allumina","allumin","allumini","allumin",0
"285","allunare","alluno","allun","are","alluna","allun","alluni","allun",0
"286","allungare","allungo","allung","are","allunga","allung","allunghi","allungh",0
"287","almanaccare","almanacco","almanakk","are","almanacca","almanakk","almanacchi","almanakk",0
"288","altalenare","altaleno","altalen","are","altalena","altalen","altaleni","altalen",0
"289","alterare","altero","alter","are","altera","alter","alteri","alter",0
"290","altercare","alterco","alterk","are","alterca","alterk","alterchi","alterkh",0
"291","alternare","alterno","altern","are","alterna","altern","alterni","altern",0
"292","alzare","alzo","alz","are","alza","alz","alzi","alz",0
"293","amalgamare","amalgamo","amalgam","are","amalgama","amalgam","amalgami","amalgam",0
"294","amare","amo","am","are","ama","am","ami","am",0
"295","amareggiare","amareggio","amareddG","are","amareggia","amareddG","amareggi","amareddG",0
"296","ambiare","ambio","ambi","are","ambia","ambi","ambi","amb",0
"297","ambiare","ambio","ambi","are","ambia","ambi","ambi","ambi",0
"298","ambientare","ambiento","ambient","are","ambienta","ambient","ambienti","ambient",0
"299","americaneggiare","americaneggio","amerikaneddG","are","americaneggia","amerikaneddG","americaneggi","amerikaneddG",0
"300","americanizzare","americanizzo","amerikanizz","are","americanizza","amerikanizz","americanizzi","amerikanizz",0
"301","amicare","amico","amik","are","amica","amik","amichi","amikh",0
"302","ammaccare","ammacco","ammakk","are","ammacca","ammakk","ammacchi","ammakk",0
"303","ammaestrare","ammaestro","ammaestr","are","ammaestra","ammaestr","ammaestri","ammaestr",0
"304","ammagliare","ammaglio","ammaLL","are","ammaglia","ammaLL","ammagli","ammaLL",0
"305","ammainare","ammaino","ammain","are","ammaina","ammain","ammaini","ammain",0
"306","ammalare","ammalo","ammal","are","ammala","ammal","ammali","ammal",0
"307","ammaliare","ammalio","ammali","are","ammalia","ammali","ammali","ammali",0
"308","ammaliare","ammalio","ammali","are","ammalia","ammali","ammali","ammal",0
"309","ammanettare","ammanetto","ammanett","are","ammanetta","ammanett","ammanetti","ammanett",0
"310","ammanierare","ammaniero","ammanier","are","ammaniera","ammanier","ammanieri","ammanier",0
"311","ammanigliare","ammaniglio","ammaniLL","are","ammaniglia","ammaniLL","ammanigli","ammaniLL",0
"312","ammantare","ammanto","ammant","are","ammanta","ammant","ammanti","ammant",0
"313","ammarare","ammaro","ammar","are","ammara","ammar","ammari","ammar",0
"314","ammassare","ammasso","ammass","are","ammassa","ammass","ammassi","ammass",0
"315","ammattonare","ammattono","ammatton","are","ammattona","ammatton","ammattoni","ammatton",0
"316","ammazzare","ammazzo","ammazz","are","ammazza","ammazz","ammazzi","ammazz",0
"317","ammezzare","ammezzo","ammezz","are","ammezza","ammezz","ammezzi","ammezz",0
"318","ammiccare","ammicco","ammikk","are","ammicca","ammikk","ammicchi","ammikk",0
"319","amministrare","amministro","amministr","are","amministra","amministr","amministri","amministr",0
"320","ammirare","ammiro","ammir","are","ammira","ammir","ammiri","ammir",0
"321","ammobiliare","ammobilio","ammobili","are","ammobilia","ammobili","ammobili","ammobil",0
"322","ammobiliare","ammobilio","ammobili","are","ammobilia","ammobili","ammobili","ammobili",0
"323","ammodernare","ammoderno","ammodern","are","ammoderna","ammodern","ammoderni","ammodern",0
"324","ammogliare","ammoglio","ammoLL","are","ammoglia","ammoLL","ammogli","ammoLL",0
"325","ammollare","ammollo","ammoll","are","ammolla","ammoll","ammolli","ammoll",0
"326","ammontare","ammonto","ammont","are","ammonta","ammont","ammonti","ammont",0
"327","ammonticchiare","ammonticchio","ammontikki","are","ammonticchia","ammontikki","ammonticchi","ammontikk",0
