"","lemma_morphit","form_1ps_ind","formfreq_1ps_ind","fonform_1ps_ind","fonroot_1ps_ind","fonroot_noinc_1ps_ind","pal_end_1ps_ind","conj","inf_root","pal_end_inf","form_3ps_ind","formfreq_3ps_ind","fonform_3ps_ind","fonroot_3ps_ind","pal_end_3ps_ind","form_1pp_ind","formfreq_1pp_ind","fonform_1pp_ind","fonroot_1pp_ind","pal_end_1pp_ind","form_1ps_sub","formfreq_1ps_sub","fonform_1ps_sub","fonroot_1ps_sub","pal_end_1ps_sub","L_morph","indpres_1s_eq_inf"
"102","divenire","divengo",93,"divengo","diveng","diveng","ng","ire","diven","-","diviene",28040,"diviene","divien","-","diveniamo",166,"diveniamo","diven","-","divenga",2924,"divenga","diveng","ng",1,0
"103","divertire","diverto",2823,"diverto","divert","divert","-","ire","divert","-","diverte",8157,"diverte","divert","-","divertiamo",1012,"divertiamo","divert","-","diverta",621,"diverta","divert","-",0,1
"111","dormire","dormo",2423,"dormo","dorm","dorm","-","ire","dorm","-","dorme",8606,"dorme","dorm","-","dormiamo",672,"dormiamo","dorm","-","dorma",642,"dorma","dorm","-",0,1
"112","eccepire","eccepisco",13,"ettSepisko","ettSepisk","ettSep","k","ire","ettSep","-","eccepisce",892,"ettSepiSSe","ettSepiSS","-","eccepiamo",12,"ettSepiamo","ettSep","-","eccepisca",44,"ettSepiska","ettSepisk","k",1,0
"113","elargire","elargisco",26,"elardGisko","elardGisk","elardG","k","ire","elardG","dG","elargisce",740,"elardGiSSe","elardGiSS","-","elargiamo",10,"elardGamo","elardG","dG","elargisca",39,"elardGiska","elardGisk","k",1,0
"114","esaudire","esaudisco",25,"esaudisko","esaudisk","esaud","k","ire","esaud","-","esaudisce",322,"esaudiSSe","esaudiSS","-","esaudiamo",9,"esaudiamo","esaud","-","esaudisca",87,"esaudiska","esaudisk","k",1,0
"115","esaurire","esaurisco",62,"esaurisko","esaurisk","esaur","k","ire","esaur","-","esaurisce",5534,"esauriSSe","esauriSS","-","esauriamo",22,"esauriamo","esaur","-","esaurisca",927,"esauriska","esaurisk","k",1,0
"116","eseguire","eseguo",551,"eseguo","esegu","esegu","-","ire","esegu","-","esegue",12667,"esegue","esegu","-","eseguiamo",405,"eseguiamo","esegu","-","esegua",1020,"esegua","esegu","-",0,1
"117","esibire","esibisco",139,"esibisko","esibisk","esib","k","ire","esib","-","esibisce",4382,"esibiSSe","esibiSS","-","esibiamo",82,"esibiamo","esib","-","esibisca",347,"esibiska","esibisk","k",1,0
"118","esordire","esordisco",42,"esordisko","esordisk","esord","k","ire","esord","-","esordisce",3933,"esordiSSe","esordiSS","-","esordiamo",12,"esordiamo","esord","-","esordisca",20,"esordiska","esordisk","k",1,0
"119","fallire","fallisco",50,"fallisko","fallisk","fall","k","ire","fall","-","fallisce",3678,"falliSSe","falliSS","-","falliamo",75,"falliamo","fall","-","fallisca",428,"falliska","fallisk","k",1,0
"120","favorire","favorisco",52,"favorisko","favorisk","favor","k","ire","favor","-","favorisce",18328,"favoriSSe","favoriSS","-","favoriamo",125,"favoriamo","favor","-","favorisca",3348,"favoriska","favorisk","k",1,0
"121","ferire","ferisco",63,"ferisko","ferisk","fer","k","ire","fer","-","ferisce",2348,"feriSSe","feriSS","-","feriamo",13,"feriamo","fer","-","ferisca",115,"feriska","ferisk","k",1,0
"122","finire","finisco",2659,"finisko","finisk","fin","k","ire","fin","-","finisce",52828,"finiSSe","finiSS","-","finiamo",1657,"finiamo","fin","-","finisca",6760,"finiska","finisk","k",1,0
"123","fornire","fornisco",631,"fornisko","fornisk","forn","k","ire","forn","-","fornisce",55718,"forniSSe","forniSS","-","forniamo",1471,"forniamo","forn","-","fornisca",4740,"forniska","fornisk","k",1,0
"124","fruire","fruisco",27,"fruisko","fruisk","fru","k","ire","fru","-","fruisce",1616,"fruiSSe","fruiSS","-","fruiamo",26,"fruiamo","fru","-","fruisca",530,"fruiska","fruisk","k",1,0
"125","fuggire","fuggo",380,"fuggo","fugg","fugg","g","ire","fuddG","dG","fugge",6252,"fuddGe","fuddG","dG","fuggiamo",232,"fuddGamo","fuddG","dG","fugga",319,"fugga","fugg","g",1,0
"126","fuoriuscire","fuoriesco",4,"fuoriesko","fuoriesk","fuoriesk","k","ire","fuoriuSS","-","fuoriesce",1780,"fuorieSSe","fuorieSS","-","fuoriusciamo",4,"fuoriuSSamo","fuoriuSS","-","fuoriesca",225,"fuorieska","fuoriesk","k",1,0
"127","garantire","garantisco",2578,"garantisko","garantisk","garant","k","ire","garant","-","garantisce",35484,"garantiSSe","garantiSS","-","garantiamo",706,"garantiamo","garant","-","garantisca",7439,"garantiska","garantisk","k",1,0
"128","gestire","gestisco",700,"dGestisko","dGestisk","dGest","k","ire","dGest","-","gestisce",24155,"dGestiSSe","dGestiSS","-","gestiamo",450,"dGestiamo","dGest","-","gestisca",1010,"dGestiska","dGestisk","k",1,0
"129","gioire","gioisco",229,"dGoisko","dGoisk","dGo","k","ire","dGo","-","gioisce",769,"dGoiSSe","dGoiSS","-","gioiamo",65,"dGoiamo","dGo","-","gioisca",88,"dGoiska","dGoisk","k",1,0
"130","gradire","gradisco",384,"gradisko","gradisk","grad","k","ire","grad","-","gradisce",1624,"gradiSSe","gradiSS","-","gradiamo",48,"gradiamo","grad","-","gradisca",207,"gradiska","gradisk","k",1,0
"131","graffire","graffo",8,"graffo","graff","graff","-","ire","graff","-","graffe",523,"graffe","graff","-","graffiamo",3,"graffiamo","graff","-","graffa",144,"graffa","graff","-",0,1
"132","guarire","guarisco",67,"guarisko","guarisk","guar","k","ire","guar","-","guarisce",2429,"guariSSe","guariSS","-","guariamo",24,"guariamo","guar","-","guarisca",337,"guariska","guarisk","k",1,0
"133","imbastire","imbastisco",8,"imbastisko","imbastisk","imbast","k","ire","imbast","-","imbastisce",199,"imbastiSSe","imbastiSS","-","imbastiamo",14,"imbastiamo","imbast","-","imbastisca",7,"imbastiska","imbastisk","k",1,0
"134","impadronire","impadronisco",7,"impadronisko","impadronisk","impadron","k","ire","impadron","-","impadronisce",744,"impadroniSSe","impadroniSS","-","impadroniamo",6,"impadroniamo","impadron","-","impadronisca",105,"impadroniska","impadronisk","k",1,0
"135","impallidire","impallidisco",12,"impallidisko","impallidisk","impallid","k","ire","impallid","-","impallidisce",307,"impallidiSSe","impallidiSS","-","impallidiamo",3,"impallidiamo","impallid","-","impallidisca",9,"impallidiska","impallidisk","k",1,0
"136","impartire","impartisco",57,"impartisko","impartisk","impart","k","ire","impart","-","impartisce",1789,"impartiSSe","impartiSS","-","impartiamo",76,"impartiamo","impart","-","impartisca",63,"impartiska","impartisk","k",1,0
"137","impaurire","impaurisco",5,"impaurisko","impaurisk","impaur","k","ire","impaur","-","impaurisce",175,"impauriSSe","impauriSS","-","impauriamo",3,"impauriamo","impaur","-","impaurisca",7,"impauriska","impaurisk","k",1,0
"138","impazzire","impazzisco",309,"impazzisko","impazzisk","impazz","k","ire","impazz","-","impazzisce",899,"impazziSSe","impazziSS","-","impazziamo",19,"impazziamo","impazz","-","impazzisca",79,"impazziska","impazzisk","k",1,0
"139","impedire","impedisco",83,"impedisko","impedisk","imped","k","ire","imped","-","impedisce",25223,"impediSSe","impediSS","-","impediamo",166,"impediamo","imped","-","impedisca",3030,"impediska","impedisk","k",1,0
"140","impigrire","impigrisco",4,"impigrisko","impigrisk","impigr","k","ire","impigr","-","impigrisce",40,"impigriSSe","impigriSS","-","impigriamo",3,"impigriamo","impigr","-","impigrisca",3,"impigriska","impigrisk","k",1,0
"141","inaridire","inaridisco",6,"inaridisko","inaridisk","inarid","k","ire","inarid","-","inaridisce",270,"inaridiSSe","inaridiSS","-","inaridiamo",4,"inaridiamo","inarid","-","inaridisca",49,"inaridiska","inaridisk","k",1,0
